scenario,variable,t,level,baseline_level,dev_pct
baseline,Y,0,1.010547184,1.010547184,0
anticipated,Y,0,1.010547184,1.010547184,0
unanticipated,Y,0,1.010547184,1.010547184,0
baseline,Y,1,1.025705392,1.025705392,0
anticipated,Y,1,1.029764972,1.025705392,0.3957842454
unanticipated,Y,1,1.025705392,1.025705392,0
baseline,Y,2,1.041090973,1.041090973,0
anticipated,Y,2,1.046077745,1.041090973,0.4789948577
unanticipated,Y,2,1.041090973,1.041090973,0
baseline,Y,3,1.056707337,1.056707337,0
anticipated,Y,3,1.062688551,1.056707337,0.566023699
unanticipated,Y,3,1.056707337,1.056707337,0
baseline,Y,4,1.072557947,1.072557947,0
anticipated,Y,4,1.079607638,1.072557947,0.6572783195
unanticipated,Y,4,1.072557947,1.072557947,0
baseline,Y,5,1.088646316,1.088646316,0
anticipated,Y,5,1.096845883,1.088646316,0.7531892537
unanticipated,Y,5,1.088646316,1.088646316,0
baseline,Y,6,1.104976011,1.104976011,0
anticipated,Y,6,1.114414846,1.104976011,0.8542117522
unanticipated,Y,6,1.104976011,1.104976011,0
baseline,Y,7,1.121550651,1.121550651,0
anticipated,Y,7,1.132326819,1.121550651,0.9608275765
unanticipated,Y,7,1.121550651,1.121550651,0
baseline,Y,8,1.138373911,1.138373911,0
anticipated,Y,8,1.150594888,1.138373911,1.073546855
unanticipated,Y,8,1.138373911,1.138373911,0
baseline,Y,9,1.15544952,1.15544952,0
anticipated,Y,9,1.169232993,1.15544952,1.192909998
unanticipated,Y,9,1.15544952,1.15544952,0
baseline,Y,10,1.172781263,1.172781263,0
anticipated,Y,10,1.18825599,1.172781263,1.319489664
unanticipated,Y,10,1.172781263,1.172781263,0
baseline,Y,11,1.190372981,1.190372981,0
anticipated,Y,11,1.207679728,1.190372981,1.453892781
unanticipated,Y,11,1.190372981,1.190372981,0
baseline,Y,12,1.208228576,1.208228576,0
anticipated,Y,12,1.227521118,1.208228576,1.596762595
unanticipated,Y,12,1.208228576,1.208228576,0
baseline,Y,13,1.226352005,1.226352005,0
anticipated,Y,13,1.247798213,1.226352005,1.748780766
unanticipated,Y,13,1.226352005,1.226352005,0
baseline,Y,14,1.244747285,1.244747285,0
anticipated,Y,14,1.268530291,1.244747285,1.910669468
unanticipated,Y,14,1.244747285,1.244747285,0
baseline,Y,15,1.263418494,1.263418494,0
anticipated,Y,15,1.289737946,1.263418494,2.083193504
unanticipated,Y,15,1.263418494,1.263418494,0
baseline,Y,16,1.282369772,1.282369772,0
anticipated,Y,16,1.311443177,1.282369772,2.267162399
unanticipated,Y,16,1.282369772,1.282369772,0
baseline,Y,17,1.301605318,1.301605318,0
anticipated,Y,17,1.333669486,1.301605318,2.463432467
unanticipated,Y,17,1.301605318,1.301605318,0
baseline,Y,18,1.321129398,1.321129398,0
anticipated,Y,18,1.356441982,1.321129398,2.672908822
unanticipated,Y,18,1.321129398,1.321129398,0
baseline,Y,19,1.340946339,1.340946339,0
anticipated,Y,19,1.379787484,1.340946339,2.896547296
unanticipated,Y,19,1.340946339,1.340946339,0
baseline,Y,20,1.361060534,1.361060534,0
anticipated,Y,20,1.403734631,1.361060534,3.135356252
unanticipated,Y,20,1.361060534,1.361060534,0
baseline,Y,21,1.381476442,1.381476442,0
anticipated,Y,21,1.428313995,1.381476442,3.390398245
unanticipated,Y,21,1.381476442,1.381476442,0
baseline,Y,22,1.402198589,1.402198589,0
anticipated,Y,22,1.453558199,1.402198589,3.662791492
unanticipated,Y,22,1.402198589,1.402198589,0
baseline,Y,23,1.423231567,1.423231567,0
anticipated,Y,23,1.479502032,1.423231567,3.95371111
unanticipated,Y,23,1.423231567,1.423231567,0
baseline,Y,24,1.444580041,1.444580041,0
anticipated,Y,24,1.506182569,1.444580041,4.264390082
unanticipated,Y,24,1.444580041,1.444580041,0
baseline,Y,25,1.466248742,1.466248742,0
anticipated,Y,25,1.533639291,1.466248742,4.596119881
unanticipated,Y,25,1.466248742,1.466248742,0
baseline,Y,26,1.488242473,1.488242473,0
anticipated,Y,26,1.561914206,1.488242473,4.950250721
unanticipated,Y,26,1.488242473,1.488242473,0
baseline,Y,27,1.51056611,1.51056611,0
anticipated,Y,27,1.591051963,1.51056611,5.328191358
unanticipated,Y,27,1.51056611,1.51056611,0
baseline,Y,28,1.533224601,1.533224601,0
anticipated,Y,28,1.621099965,1.533224601,5.731408385
unanticipated,Y,28,1.533224601,1.533224601,0
baseline,Y,29,1.55622297,1.55622297,0
anticipated,Y,29,1.652108481,1.55622297,6.161424969
unanticipated,Y,29,1.55622297,1.55622297,0
baseline,Y,30,1.579566315,1.579566315,0
anticipated,Y,30,1.684130745,1.579566315,6.619818946
unanticipated,Y,30,1.579566315,1.579566315,0
baseline,Y,31,1.60325981,1.60325981,0
anticipated,Y,31,1.717223048,1.60325981,7.108220238
unanticipated,Y,31,1.60325981,1.60325981,0
baseline,Y,32,1.627308707,1.627308707,0
anticipated,Y,32,1.751444819,1.627308707,7.628307503
unanticipated,Y,32,1.627308707,1.627308707,0
baseline,Y,33,1.651718337,1.651718337,0
anticipated,Y,33,1.786858694,1.651718337,8.181803992
unanticipated,Y,33,1.651718337,1.651718337,0
baseline,Y,34,1.676494113,1.676494113,0
anticipated,Y,34,1.823530568,1.676494113,8.770472535
unanticipated,Y,34,1.676494113,1.676494113,0
baseline,Y,35,1.701641524,1.701641524,0
anticipated,Y,35,1.861529627,1.701641524,9.396109636
unanticipated,Y,35,1.701641524,1.701641524,0
baseline,Y,36,1.727166147,1.727166147,0
anticipated,Y,36,1.900928365,1.727166147,10.06053864
unanticipated,Y,36,1.727166147,1.727166147,0
baseline,Y,37,1.753073639,1.753073639,0
anticipated,Y,37,1.941802569,1.753073639,10.76560194
unanticipated,Y,37,1.753073639,1.753073639,0
baseline,Y,38,1.779369744,1.779369744,0
anticipated,Y,38,1.984231292,1.779369744,11.51315226
unanticipated,Y,38,1.779369744,1.779369744,0
baseline,Y,39,1.80606029,1.80606029,0
anticipated,Y,39,2.028296786,1.80606029,12.30504302
unanticipated,Y,39,1.80606029,1.80606029,0
baseline,Y,40,1.833151194,1.833151194,0
anticipated,Y,40,2.074084414,1.833151194,13.14311773
unanticipated,Y,40,1.833151194,1.833151194,0
baseline,Y,41,1.860648462,1.860648462,0
anticipated,Y,41,2.121682532,1.860648462,14.02919869
unanticipated,Y,41,1.860648462,1.860648462,0
baseline,Y,42,1.888558189,1.888558189,0
anticipated,Y,42,2.171182335,1.888558189,14.96507482
unanticipated,Y,42,1.888558189,1.888558189,0
baseline,Y,43,1.916886562,1.916886562,0
anticipated,Y,43,2.222677679,1.916886562,15.95248893
unanticipated,Y,43,1.916886562,1.916886562,0
baseline,Y,44,1.945639861,1.945639861,0
anticipated,Y,44,2.276264864,1.945639861,16.99312447
unanticipated,Y,44,1.945639861,1.945639861,0
baseline,Y,45,1.974824458,1.974824458,0
anticipated,Y,45,2.332042396,1.974824458,18.08859191
unanticipated,Y,45,1.974824458,1.974824458,0
baseline,Y,46,2.004446825,2.004446825,0
anticipated,Y,46,2.390110713,2.004446825,19.24041503
unanticipated,Y,46,2.004446825,2.004446825,0
baseline,Y,47,2.034513528,2.034513528,0
anticipated,Y,47,2.450571892,2.034513528,20.45001708
unanticipated,Y,47,2.034513528,2.034513528,0
baseline,Y,48,2.065031231,2.065031231,0
anticipated,Y,48,2.513529321,2.065031231,21.71870737
unanticipated,Y,48,2.065031231,2.065031231,0
baseline,Y,49,2.096006699,2.096006699,0
anticipated,Y,49,2.579087368,2.096006699,23.04766816
unanticipated,Y,49,2.096006699,2.096006699,0
baseline,Y,50,2.1274468,2.1274468,0
anticipated,Y,50,2.301395955,2.1274468,8.176428003
unanticipated,Y,50,1.010547184,2.1274468,-52.49953211
baseline,Y,51,2.159358502,2.159358502,0
anticipated,Y,51,2.31635097,2.159358502,7.270329056
unanticipated,Y,51,1.029764972,2.159358502,-52.31153274
baseline,Y,52,2.191748879,2.191748879,0
