scenario,variable,t,level,baseline_level,dev_pct
baseline,Y,0,1.010547184,1.010547184,0
baseline,Y,1,1.025705392,1.025705392,0
baseline,Y,2,1.041090973,1.041090973,0
baseline,Y,3,1.056707337,1.056707337,0
baseline,Y,4,1.072557947,1.072557947,0
baseline,Y,5,1.088646316,1.088646316,0
baseline,Y,6,1.104976011,1.104976011,0
baseline,Y,7,1.121550651,1.121550651,0
baseline,Y,8,1.138373911,1.138373911,0
baseline,Y,9,1.15544952,1.15544952,0
baseline,Y,10,1.172781263,1.172781263,0
baseline,Y,11,1.190372981,1.190372981,0
baseline,Y,12,1.208228576,1.208228576,0
baseline,Y,13,1.226352005,1.226352005,0
baseline,Y,14,1.244747285,1.244747285,0
baseline,Y,15,1.263418494,1.263418494,0
baseline,Y,16,1.282369772,1.282369772,0
baseline,Y,17,1.301605318,1.301605318,0
baseline,Y,18,1.321129398,1.321129398,0
baseline,Y,19,1.340946339,1.340946339,0
baseline,Y,20,1.361060534,1.361060534,0
baseline,Y,21,1.381476442,1.381476442,0
baseline,Y,22,1.402198589,1.402198589,0
baseline,Y,23,1.423231567,1.423231567,0
baseline,Y,24,1.444580041,1.444580041,0
baseline,Y,25,1.466248742,1.466248742,0
baseline,Y,26,1.488242473,1.488242473,0
baseline,Y,27,1.51056611,1.51056611,0
baseline,Y,28,1.533224601,1.533224601,0
baseline,Y,29,1.55622297,1.55622297,0
baseline,Y,30,1.579566315,1.579566315,0
baseline,Y,31,1.60325981,1.60325981,0
baseline,Y,32,1.627308707,1.627308707,0
baseline,Y,33,1.651718337,1.651718337,0
baseline,Y,34,1.676494113,1.676494113,0
baseline,Y,35,1.701641524,1.701641524,0
baseline,Y,36,1.727166147,1.727166147,0
baseline,Y,37,1.753073639,1.753073639,0
baseline,Y,38,1.779369744,1.779369744,0
baseline,Y,39,1.80606029,1.80606029,0
baseline,Y,40,1.833151194,1.833151194,0
baseline,Y,41,1.860648462,1.860648462,0
baseline,Y,42,1.888558189,1.888558189,0
baseline,Y,43,1.916886562,1.916886562,0
baseline,Y,44,1.945639861,1.945639861,0
baseline,Y,45,1.974824458,1.974824458,0
baseline,Y,46,2.004446825,2.004446825,0
baseline,Y,47,2.034513528,2.034513528,0
baseline,Y,48,2.065031231,2.065031231,0
